time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.5100000000000002,0.01,0.0,0.138,-0.0622338097774027,0.0,5.67109363906502,0.4,-0.4,255.00000000000006,254.00000000000006
0.5200000000000002,0.01,0.0,0.138,-0.06172498981095002,0.0,5.809981259236338,0.4,-0.4,254.00000000000006,254.00000000000006
0.5300000000000002,0.01,0.0,0.138,-0.06121225571534507,0.0,5.949762839461528,0.4,-0.4,254.00000000000006,254.00000000000006
0.5400000000000003,0.01,0.0,0.138,-0.06069569254723989,0.0,6.090425469856655,0.4,-0.4,254.00000000000006,254.00000000000006
0.5500000000000003,0.01,0.0,0.138,-0.06017538351494843,0.0,6.231956240942509,0.4,-0.4,254.00000000000006,254.00000000000006
0.5600000000000003,0.01,0.0,0.138,-0.059651410018612155,0.0,6.3743422556785845,0.4,-0.4,255.00000000000006,254.00000000000006
0.5700000000000003,0.01,0.0,0.138,-0.05912385168949287,0.0,6.517570640714439,0.4,-0.4,255.00000000000006,254.00000000000006
0.5800000000000003,0.01,0.0,0.138,-0.05859278642841162,0.0,6.661628556906635,0.4,-0.4,254.00000000000006,254.00000000000006
0.5900000000000003,0.01,0.0,0.138,-0.05805829044335235,0.0,6.8065032091335524,0.4,-0.4,254.00000000000006,254.00000000000006
0.6000000000000003,0.01,0.0,0.138,-0.05752043828624845,0.0,6.952181855431718,0.4,-0.4,254.00000000000006,254.00000000000006
0.6100000000000003,0.01,0.0,0.138,-0.0569793028889697,0.0,7.098651815523226,0.4,-0.4,254.00000000000006,254.00000000000006
0.6200000000000003,0.01,0.0,0.138,-0.0564349555985275,0.0,7.2459004787097,0.4,-0.4,254.00000000000006,254.00000000000006
0.6300000000000003,0.01,0.0,0.138,-0.0558874662115148,0.0,7.39391531122692,0.4,-0.4,254.00000000000006,254.00000000000006
0.6400000000000003,0.01,0.0,0.138,-0.05533690300779778,0.0,7.542683863043749,0.4,-0.4,254.00000000000006,254.00000000000006
0.6500000000000004,0.01,0.0,0.138,-0.054783332783475316,0.0,7.6921937741485635,0.4,-0.4,254.00000000000006,254.00000000000006
0.6600000000000004,0.01,0.0,0.138,-0.05422682088312225,0.0,7.842432780354102,0.4,-0.4,254.00000000000006,254.00000000000006
0.6700000000000004,0.01,0.0,0.138,-0.053667431231332004,0.0,7.993388718648475,0.4,-0.4,254.00000000000006,254.00000000000006
0.6800000000000004,0.01,0.0,0.138,-0.05310522636357365,0.0,8.145049532095072,0.4,-0.4,254.00000000000006,254.00000000000006
0.6900000000000004,0.01,0.0,0.138,-0.05254026745637863,0.0,8.297403274339104,0.4,-0.4,254.00000000000006,254.00000000000006
0.7000000000000004,0.01,0.0,0.138,-0.05197261435687128,0.0,8.450438113704422,0.4,-0.4,255.00000000000006,255.00000000000006
0.7100000000000004,0.01,0.0,0.138,-0.051402325611657806,0.0,8.604142336939276,0.4,-0.4,254.00000000000006,254.00000000000006
0.7200000000000004,0.01,0.0,0.138,-0.05082945849508737,0.0,8.758504352600994,0.4,-0.4,254.00000000000006,254.00000000000006
0.7300000000000004,0.01,0.0,0.138,-0.05025406903689909,0.0,8.913512694119163,0.4,-0.4,254.00000000000006,254.00000000000006
0.7400000000000004,0.01,0.0,0.138,-0.04967621204926832,0.0,9.069156022533662,0.4,-0.4,255.00000000000006,254.00000000000006
0.7500000000000004,0.01,0.0,0.138,-0.04909594115326504,0.0,9.225423128959847,0.4,-0.4,254.00000000000006,254.00000000000006
0.7600000000000005,0.01,0.0,0.138,-0.04851330880473741,0.0,9.382302936749966,0.4,-0.4,254.00000000000006,255.00000000000006
0.7700000000000005,0.01,0.0,0.138,-0.047928366319632834,0.0,9.53978450341583,0.4,-0.4,254.00000000000006,254.00000000000006
0.7800000000000005,0.01,0.0,0.138,-0.04734116389876876,0.0,9.697857022289554,0.4,-0.4,254.00000000000006,254.00000000000006
0.7900000000000005,0.01,0.0,0.138,-0.04675175065206518,0.0,9.856509823954184,0.4,-0.4,254.00000000000006,254.00000000000006
0.8000000000000005,0.01,0.0,0.138,-0.04616017462225062,0.0,10.015732377461518,0.4,-0.4,254.00000000000006,255.00000000000006
0.8100000000000005,0.01,0.0,0.138,-0.04556648280805284,0.0,10.175514291330273,0.4,-0.4,254.00000000000006,254.00000000000006
0.8200000000000005,0.01,0.0,0.138,-0.044970721186885734,0.0,10.335845314363269,0.4,-0.4,254.00000000000006,254.00000000000006
0.8300000000000005,0.01,0.0,0.138,-0.044372934737043165,0.0,10.49671533627452,0.4,-0.4,254.00000000000006,254.00000000000006
0.8400000000000005,0.01,0.0,0.138,-0.0437731674594105,0.0,10.658114388144895,0.4,-0.4,254.00000000000006,255.00000000000006
0.8500000000000005,0.01,0.0,0.138,-0.04317146239870434,0.0,10.82003264271816,0.4,-0.4,254.00000000000006,255.00000000000006
0.8600000000000005,0.01,0.0,0.138,-0.042567861664250715,0.0,10.98246041454604,0.4,-0.4,254.00000000000006,254.00000000000006
