time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_position_x,{sensorFMU}.sensor1.lf_1_sensor_position_y,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_position_x,{sensorFMU}.sensor2.lf_1_sensor_position_y,{sensorFMU}.sensor2.lf_1_sensor_reading
5.309999999999931,0.01,0.16254011965025905,0.1282223729754836,0.17368580045561677,0.0,87.63077876782927,7.3954063257093114,-7.913579338729712,0.1,-0.5,0.1316108807145506,0.2740830458089909,254.00000000000006,0.09408274161960087,0.2681132236952168,179.00000000000003
5.319999999999931,0.01,0.16733171218608844,0.12804312560707418,0.174043267145083,0.0,87.76771251237142,7.3992587135257315,-7.93270717944231,0.1,-0.5,0.13095123062513447,0.2744556041466429,255.00000000000006,0.09345209298405122,0.26830624026286665,202.00000000000006
5.329999999999931,0.01,0.17212728303550207,0.12786206845954418,0.17439985306526973,0.0,87.9046524356886,7.403104742720656,-7.951841344277471,0.1,-0.5,0.13028910593881485,0.27482498955718226,254.00000000000006,0.09281986390832535,0.2684960163655343,226.00000000000006
5.339999999999931,0.01,0.17692569955673423,0.1276792326239302,0.17475555346650495,0.0,88.04159675825258,7.406946220999802,-7.9709800301130285,0.1,-0.5,0.12962471892768415,0.27519118733229475,254.00000000000006,0.09218625866882318,0.2686826011996782,236.00000000000006
5.34999999999993,0.01,0.18172615157556582,0.1274946415570932,0.17511036273393893,0.0,88.17854420973708,7.410784441856514,-7.990121947631277,0.1,-0.5,0.12895822585217268,0.2755541852842142,255.00000000000006,0.0915514273864166,0.2688660294440511,242.00000000000006
5.35999999999993,0.01,0.1865280595775659,0.1273083132696606,0.17546427461123904,0.0,88.31549388406575,7.414620330893387,-8.00926617496024,0.1,-0.5,0.12828974291142525,0.27591397285697145,254.00000000000006,0.09091548150021918,0.26904632522719063,251.00000000000006
5.36999999999993,0.01,0.1913310090383551,0.1271202618902293,0.17581728236843697,0.0,88.45244513549687,7.418454550498584,-8.028412052996828,0.1,-0.5,0.12761935765530563,0.27627054054441486,254.00000000000006,0.09027850482249289,0.26922350501745596,254.00000000000006
5.37999999999993,0.01,0.19613470345029527,0.12693049878359924,0.1761693789276932,0.0,88.58939750421769,7.422287574731223,-8.04755911054272,0.1,-0.5,0.12694713714912326,0.27662387951279066,254.00000000000006,0.08964056143627341,0.2693975797278798,254.00000000000006
5.3899999999999295,0.01,0.20093893072266203,0.12673903335015307,0.17652055695740765,0.0,88.72635066311614,7.426119742895615,-8.06670701076338,0.1,-0.5,0.12627313381492722,0.2769739813588221,254.00000000000006,0.0890017013372136,0.26956855624886156,254.00000000000006
5.399999999999929,0.01,0.20574353914781776,0.1265458735972709,0.17687080894256418,0.0,88.8633043797231,7.429951297870203,-8.085855512897863,0.1,-0.5,0.1255973896104172,0.27732083795687473,254.00000000000006,0.08836196446380179,0.2697364385639893,254.00000000000006
5.409999999999929,0.01,0.21054842020990874,0.12635102654776798,0.17722012723725855,0.0,89.0002584890226,7.433782413530317,-8.105004444876222,0.1,-0.5,0.1249199390184684,0.2776644413641882,255.00000000000006,0.08772138357620761,0.2699012285621938,254.00000000000006
